Father,الأب,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Mother,الأم,
Orphan,اليتيم,
Provider,المعيل,
Sponsor,كفيل,
Reload,تحديث,
Session Defaults,الجلسة الافتراضية,
System Manager,مدير النظام,
View Website,مشاهدة الموقع,
Street,شارع,
Near to,بالقرب من,
Building name,اسم البناية,
Floor,طابق,
Section for administration,حقل مخصص للادارة,
Form Filling Date,تاريخ تعبئة الاستمارة,
Filler name,اسم المعبئ,
Visit type,نوع الزيارة,
Administration decision,قرار الادارة,
Sponsor number,رقم الكافل,
Orphan info,معلومات عن اليتيم,
Father info,معلومات عن الأب,
Mother info,معلومات عن الأم,
Provider Info,معلومات عن المعيل,
Sponsor info,معلومات عن الكفيل,
First name,الاسم,
Middle name,اسم الأب,
Last name,اسم العائلة,
Lebanese,لبناني,
Syrian,سوري,
Palestinian,فلسطيني,
Place of birth,مكان الولادة,
Study,يدرس,
Don't study,لا يدرس,
Under school age,دون سن الدراسة,
School name,اسم المدرسة,
Cycle,المرحلة الدراسية,
Grade,الصف,
School tuition,القسط السنوي,
Hobbies,الهوايات,
Filler comments,المعبئ,
Relation to orphan,صلة القربى باليتيم,
Social Status,الحالة الاجتماعية,
Number of children,عدد الأولاد,
Work type,نوع العمل,
Education level,المستوى التعليمي,
Monthly income,المدخول الشهري,
Care level,مستوى الرعاية,
Financial value provided monthly,القيمة المالية المقدمة شهريا,
Care period,فترة الرعاية,
continuous,مستمرة,
discontinuous,متقطعة,
Religion status,الوضع الديني,
Date of death,تاريخ الوفاة,
Number of family members,عدد أفراد الأسرة,
Work before death,العمل قبل الوفاة,
Inheritance,الارث,
Insured,مضمون,
Insurance value,قيمة التعويض,
Death cause,سبب الوفاة,
accident,حادث,
illness,مرض,
natural death,موت طبيعي,
Filling date,تاريخ التعبئة,
Administration comments,ملاحظات الادارة,
Who is the provider,من المعيل,
the mother,الأم,
none,لا يوجد,
other,غير ذلك,
How are expenses secured please specify,كيف يتم تأمين المصاريف الرجاء التفصيل,
Health condition,الحالة الصحية,
Good,جيدة,
Bad,سيئة,
Chronic diseases,أمراض مزمنة,
Disease Description,نوع المرض,
House Status,وضع المنزل,
Filler comment on house status,ملاحظات المعبئ عن وضع المنزل,
Ownership,الملكية,
owned,ملك,
rented,ايجار,
Monthly rent price,قيمة الايجار في الشهر,
Precise Situation,حدد الوضع,
General info about the family,معلومات عامة حول الأسرة,
Debt,دين,
Debt amount,مقداره,
To whom,لمن,
Monthly payment amount,قيمة الدفعة الشهرية,
Cause,السبب,
Do they go to sharia studies,هل يحضرون دروس علم شرعي,
Is there clear prohibitions,هل يوجد محرمات ظاهرة,
Do the children go to religious summer camp,هل الأولاد يشاركون في دورات دينية صيفية,
Does the orphan go to other organization,هل اليتيم يتردد على اي مؤسسة أخرى,
Specify please,الرجاء التفصيل,
Family details,تفاصيل العائلة,
Relation,صلة القرابة,
Visitor name,اسم الزائر,
Visit date,تاريخ الزيارة,
Fixed Payments,المدفوعات الثابتة,
House rent,أجرة المنزل,
Monthly Expenses,المصاريف الشهرية,
Clothes,ثياب,
Transport,تنقلات,
Gas,غاز,
Electricity bill,كهرباء,
House expenses,مصروف المنزل,
Monthly Expenses Sum,مجموع المصاريف الشهرية,
Medications table,جدول الأدوية,
Sick relative name,اسم المريض,
Medication name,اسم الدواء,
Box number monthly,عدد العلب شهريا,
Medication Price Sum,مجموع ثمن الأدوية,
Income,المداخيل,
Sources within the family,مداخيل ضمن العائلة,
She works,تعمل,
Work,العمل,
Amount given to family,ما يقدمه للعائلة,
Other sources,مصادر مساعدات أخرى,
Source name,اسم مصدر المساعدة,
Amount,القيمة,
Income sum,جمع المداخيل,
Namaa organization,مؤسسة  نماء,
NGO,الهيئة الخيرية,
Who chose the orphan,من حدد اليتيم,
Start date,تاريخ البدئ,
End date,تاريخ الانتهاء,
Phone number,رقم الهاتف,
Children,الأولاد,
Relatives,الأقارب,
Full name,الاسم الثلاثي,
Center,مركز,
Tripoli,طرابلس,
Akkar,عكار,
Beirut,بيروت,
Bikaa,البقاع,
School/University name,اسم المدرسة/الجامعة,
Education tuition,القسط التعليمي,
Transport cost,تكلفة المواصلات,
Disease start date,تاريخ بدء المرض,
Monthly treatment cost,كلفة العلاج الشهري,
Treatment duration,مدة العلاج,
Last preview date,تاريخ اخر معاينة,
Treatment type,نوع العلاج,
Health coverage,تغطية صحية,
Determine,حدد,
Room number,عدد الغرف,
Profession,المهنة,
Work address,عنوان العمل,
Comments,ملاحظات,
Payment,التسديد,
transcendent,متجاوز عنه,
constantly,بشكل ثابت,
Cash,نقدية,
Material,عينية,
Help,مساعدات,
